Title,Color,Price,Rating,Offer
Apple iPhone 7,Silver,34900,4.5,0.0
Apple iPhone 8,Space Grey,39900,4.5,0.0
Apple iPhone 7,Gold,74400,4.5,0.0
Apple iPhone SE,Red,39900,4.5,0.0
Apple iPhone 14 Plus,Midnight,95999,4.6,0.0
Apple iPhone 12,Red,50999,4.6,0.0
Apple iPhone 12,Green,63999,4.6,0.0
Apple iPhone 7,Jet Black,34900,4.5,0.0
Apple iPhone SE,Red,44900,4.5,0.0
Apple iPhone 6s,Gold,55999,4.5,0.0
Apple iPhone 6s Plus,Space Grey,92000,4.4,27.0
Apple iPhone 6,Space Grey,44999,4.4,48.0
Apple iPhone 12 Pro Max,Silver,129900,4.5,35.0
Apple iPhone 6s,Rose Gold,31999,4.5,15.0
Apple iPhone 8,PRODUCT)RED (Red,81500,4.7,7.0
Apple iPhone 11 Pro Max,Silver,131900,4.7,32.0
Apple iPhone 13 Pro Max,Silver,139900,4.6,1.0
Apple iPhone SE,White,54900,4.5,35.0
Apple iPhone 7,Jet Black,74400,4.5,0.0
Apple iPhone 6 Plus,Space Grey,39999,4.5,0.0
Apple iPhone XS,Space Grey,103900,4.7,0.0
Apple iPhone 6s Plus,Silver,34900,4.4,0.0
Apple iPhone SE 3rd Gen,Product (Red),54900,4.4,0.0
Apple iPhone 14 Plus,(PRODUCT)RED,75999,4.6,0.0
Apple iPhone 7 Plus,Jet Black,85400,4.5,0.0
Apple iPhone SE,White,44900,4.5,0.0
Apple iPhone 13 Pro,Sierra Blue,169900,4.7,0.0
Apple iPhone 7 Plus,Jet Black,37900,4.5,0.0
Apple iPhone SE,Black,54900,4.5,0.0
Apple iPhone 6s,Gold,41999,4.5,0.0
Apple iPhone 12,Red,63999,4.6,0.0
Apple iPhone XS,Gold,134900,4.7,0.0
Apple iPhone 7 Plus,Rose Gold,42900,4.5,0.0
Apple iPhone 13 mini,Green,94900,4.5,0.0
Apple iPhone 12 mini,Purple,74900,4.5,34.0
Apple iPhone 7 Plus,Red,42900,4.5,6.0
Apple iPhone 8 Plus,Gold,84900,4.6,34.0
Apple iPhone 13 Pro,Graphite,129900,4.7,6.0
Apple iPhone 11 Pro Max,Silver,117100,4.7,0.0
Apple iPhone 11 Pro,Silver,106600,4.6,0.0
Apple iPhone 12 Pro,Gold,109900,4.5,0.0
Apple iPhone 7 Plus,Rose Gold,37900,4.5,0.0
Apple iPhone 7,Silver,74400,4.5,0.0
Apple iPhone 8 Plus,PRODUCT)RED (Red,49900,4.6,0.0
Apple iPhone 7 Plus,Gold,37900,4.5,0.0
Apple iPhone 7,Gold,31500,4.5,0.0
Apple iPhone 11 Pro,Space Grey,121300,4.6,0.0
Apple iPhone SE 3rd Gen,Starlight,64900,4.4,0.0
Apple iPhone XR,Coral,52900,4.6,0.0
Apple iPhone SE,Black,39900,4.5,0.0
Apple iPhone XS,Gold,103900,4.7,0.0
Apple iPhone 14 Pro,Gold,169900,4.6,0.0
Apple iPhone XS Max,Silver,109900,4.6,0.0
Apple iPhone 15 Pro Max,Blue Titanium,168900,4.6,0.0
Apple iPhone XS,Space Grey,134900,4.7,0.0
Apple iPhone 13 mini,(PRODUCT)RED,74900,4.5,0.0
Apple iPhone 14 Pro,Deep Purple,149900,4.6,0.0
Apple iPhone XS Max,Space Grey,124900,4.6,0.0
Apple iPhone XS Max,Space Grey,124900,4.6,6.0
Apple iPhone 6,Gold,62500,4.4,5.0
Apple iPhone SE,Red,44900,4.5,12.0
Apple iPhone 13 Pro Max,Gold,159900,4.6,28.0
Apple iPhone 6s,Rose Gold,29900,4.5,33.0
Apple iPhone XR,Black,91900,4.6,3.0
Apple iPhone 15 Pro Max,Natural Titanium,168900,4.6,6.0
Apple iPhone 15 Pro Max,Natural Titanium,188900,4.6,3.0
Apple iPhone 13 mini,Blue,74900,4.5,0.0
Apple iPhone 15,Yellow,96499,4.6,0.0
Apple iPhone 7,PRODUCT) (Red,74400,4.7,0.0
Apple iPhone 6,Silver,36990,4.4,0.0
Apple iPhone 12 Pro Max,Pacific Blue,149900,4.5,0.0
Apple iPhone 6 Plus,Silver,40999,4.5,0.0
Apple iPhone 13 Pro Max,Graphite,129900,4.6,0.0
Apple iPhone 13 mini,(PRODUCT)RED,94900,4.5,0.0
Apple iPhone 14 Pro,Silver,169900,4.6,0.0
Apple iPhone 12 mini,Blue,74900,4.5,0.0
Apple iPhone 7,Black,34900,4.5,0.0
Apple iPhone XR,White,91900,4.6,0.0
Apple iPhone 14 Pro,Space Black,149900,4.6,0.0
Apple iPhone 14 Pro,Deep Purple,169900,4.6,0.0
Apple iPhone 6,Space Grey,30780,4.4,0.0
Apple iPhone 6,Silver,62000,4.4,0.0
Apple iPhone 11 Pro Max,Space Grey,117100,4.7,12.0
Apple iPhone XR,Black,52900,4.6,9.0
Apple iPhone 14 Pro,Silver,149900,4.6,9.0
Apple iPhone 6s Plus,Rose Gold,70000,4.4,12.0
Apple iPhone 6,Silver,71500,4.4,0.0
Apple iPhone 12 Pro Max,Pacific Blue,129900,4.5,0.0
Apple iPhone 12 Pro Max,Gold,119900,4.5,0.0
Apple iPhone 14 Plus,Blue,95999,4.6,0.0
Apple iPhone 14 Pro,Space Black,169900,4.6,0.0
Apple iPhone 6,Space Grey,52000,4.4,0.0
Apple iPhone 6,Grey,71500,4.4,0.0
Apple iPhone 11 Pro,Gold,106600,4.6,0.0
Apple iPhone 11 Pro,Midnight Green,121300,4.6,0.0
Apple iPhone 13 mini,(PRODUCT)RED,64900,4.5,0.0
Apple iPhone 13,(PRODUCT)RED,62999,4.7,0.0
Apple iPhone 11 Pro,Space Grey,106600,4.6,0.0
Apple iPhone 11 Pro,Gold,121300,4.6,0.0
Apple iPhone 6s Plus,Gold,92000,4.4,0.0
Apple iPhone 13 Pro,Sierra Blue,119900,4.7,0.0
Apple iPhone 6s,Gold,29900,4.5,0.0
Apple iPhone 8 Plus,PRODUCT)RED (Red,84900,4.6,0.0
Apple iPhone 8,PRODUCT)RED (Red,39900,4.7,0.0
Apple iPhone 6s,Space Grey,29900,4.5,0.0
Apple iPhone XS Max,Gold,124900,4.6,0.0
Apple iPhone 14 Pro Max,Space Black,177999,4.6,3.0
